Date,total_boosters_per_hundred
1,1.12
2,1.16
3,1.19
4,1.21
5,1.22
6,1.25
7,1.29
8,1.32
9,1.35
10,1.42
11,1.43
12,1.45
13,1.48
14,1.5
15,1.53
16,1.55
17,1.56
18,1.58
19,1.6
20,1.61
21,1.63
22,1.66
23,1.69
24,1.7
25,1.73
26,1.76
27,1.79
28,1.81
29,1.87
30,1.91
31,1.95
32,2.02
33,2.13
34,2.2
35,2.34
36,2.59
37,2.68
38,2.74
39,2.82
40,2.97
41,3.09
42,3.24
43,3.49
44,3.58
45,3.71
46,3.81
47,3.96
48,4.07
49,4.15
50,4.2
51,4.31
52,4.44
53,4.44
54,4.54
55,4.71
56,4.81
57,4.93
58,5.13
59,5.45
60,5.74
61,6.03
62,6.38
63,6.6
64,6.7
65,6.96
66,7.24
67,7.49
68,7.77
69,8.1
70,8.37
71,8.43
72,8.68
73,9.37
74,9.63
75,9.63
76,10.25
77,10.35
78,10.54
79,10.94
80,11.28
81,11.61
82,11.99
83,12.23
84,12.36
85,12.6
86,13.77
87,13.86
88,14.1
89,14.44
90,14.79
91,15.21
92,15.65
93,15.91
94,16.04
95,16.35
96,30.3
97,30.48
98,30.67
99,30.92
100,31.06
101,31.12
102,31.27
103,31.43
104,31.57
105,31.71
106,31.87
107,31.97
108,32.02
109,32.12
110,32.23
111,32.34
112,32.44
113,32.55
114,32.64
115,32.67
116,32.74
117,33.2
118,33.28
119,33.38
120,33.58
121,33.63
122,33.7
123,33.79
124,34.3
125,34.36
126,34.42
127,34.49
128,34.53
129,34.55
130,34.6
131,34.65
132,34.7
133,34.74
134,34.78
135,34.82
136,34.84
137,34.89
138,34.94
139,41.92
140,42.05
141,42.2
142,42.36
143,42.42
144,42.48
145,42.61
146,42.74
147,42.88
148,43.03
149,43.19
150,43.26
151,43.34
152,43.45
153,43.63
154,44.41
155,44.53
156,44.64
157,44.78
158,44.86
159,44.89
160,44.99
161,45.1
162,45.21
163,45.31
164,45.42
165,45.48
166,45.51
167,45.59
168,45.68
169,46.32
170,46.68
171,47.08
172,47.65
173,48.19
174,48.64
175,48.95
176,49.22
177,49.46
178,62.97
179,63.78
