Date,total_boosters_per_hundred
1,0.03
2,0.15
3,0.29
4,0.43
5,0.47
6,0.63
7,0.77
8,0.91
9,1.11
10,1.45
11,1.72
12,2.02
13,2.33
14,2.56
15,2.71
16,3
17,3.29
18,3.54
19,3.82
20,4.16
21,4.56
22,4.65
23,4.64
24,5.18
25,5.77
26,6.15
27,6.46
28,6.58
29,6.82
30,7.09
31,7.46
32,7.77
33,8.11
34,8.39
35,8.48
36,8.8
37,9.14
38,10.19
39,10.4
40,10.73
41,11.02
42,11.56
43,11.99
44,12.29
45,12.45
46,12.76
47,13.16
48,13.54
49,13.9
50,14.29
51,14.57
52,14.69
53,15.01
54,15.39
55,15.75
56,16.2
57,16.61
58,16.91
59,17.06
60,17.41
61,17.55
62,17.95
63,18.71
64,18.95
65,19.32
66,19.63
67,20.5
68,20.81
69,21.09
70,21.37
71,21.72
72,21.93
73,22.08
74,22.27
75,22.52
76,22.85
77,23.1
78,23.41
79,23.92
80,24.03
81,24.25
82,24.45
83,24.68
84,24.88
85,25
86,25.16
87,25.33
88,25.52
89,25.67
90,25.9
91,26.03
92,26.07
93,26.24
94,26.41
95,26.58
96,26.74
97,26.87
98,26.87
99,27.08
100,27.16
101,27.26
102,27.36
103,27.43
104,27.55
105,27.64
106,27.7
107,27.78
108,27.86
109,28.01
110,28.08
111,28.2
112,28.42
113,28.5
114,28.6
115,28.68
116,28.79
117,28.94
118,29.04
119,29.12
120,29.18
121,29.23
122,29.28
123,29.33
124,29.36
125,29.4
126,29.45
127,29.49
128,29.5
129,29.55
130,29.59
131,29.61
132,29.64
133,29.68
134,29.71
135,29.74
136,29.77
137,29.82
138,29.84
139,29.88
140,29.91
141,29.95
142,29.98
143,30.01
144,30.05
145,30.07
146,30.1
147,30.14
148,30.2
149,30.3
150,30.49
151,30.62
152,30.7
153,30.84
154,30.97
155,31.13
156,31.25
157,31.41
158,31.49
159,31.62
160,31.78
161,31.92
162,32.07
163,32.19
164,32.41
165,32.46
166,32.55
167,32.68
168,32.81
169,32.96
170,33.03
171,33.03
172,33.18
173,33.3
174,33.51
175,33.65
176,33.73
177,33.78
178,33.88
179,33.99
180,34.09
181,34.17
182,34.27
183,34.35
184,34.4
185,34.47
186,34.57
187,34.78
188,34.91
189,35
190,35.05
191,35.14
192,35.25
193,35.34
194,35.44
195,35.56
196,35.65
197,35.7
198,35.79
199,35.92
200,36.04
201,36.12
202,36.36
203,36.4
204,36.53
205,36.62
206,36.69
207,36.72
208,36.78
209,36.84
210,36.89
211,36.95
212,37.02
213,37.08
214,37.11
215,37.15
216,37.21
217,37.26
218,37.52
219,37.71
220,37.93
221,38.2
222,38.62
223,39.01
224,39.33
225,39.56
226,39.77
227,39.95
228,40.11
229,40.17
230,40.14
231,41.63
232,42.58
233,43.58
234,44.67
235,45.74
236,46.69
237,47.77
238,48.6
239,49.4
240,50.13
241,50.5
242,51
